Date,Open*,High,Low,Close**,Volume,Market Cap
12/15/2019,93.05,93.62,89.74,93.48,360708498,1689052393
12/14/2019,93.34,94.37,92.35,93.03,364795485,1680878468
12/13/2019,93.06,93.81,92.17,93.38,382985017,1687151015
12/12/2019,94.64,95.29,92.26,93.07,430999056,1681592902
12/11/2019,96.43,96.59,94.45,94.64,292799841,1710042827
12/10/2019,95.44,97.75,94.74,96.4,315945295,1741822882
12/9/2019,97.47,97.75,94.62,95.46,312825507,1724792159
12/8/2019,96.36,98,95.45,97.45,255260742,1760696830
12/7/2019,97.02,97.7,95.63,96.35,317692202,1740842288
12/6/2019,95.94,97.13,95.07,97.01,343359094,1752834428
12/5/2019,95.45,100.36,94.1,95.93,399408720,1733292933
12/4/2019,96,100.91,94.51,95.44,492295285,1724375560
12/3/2019,100.52,101.91,95.64,95.96,408257124,1733908192
12/2/2019,104.37,104.89,99.64,100.52,393387957,1816323733
12/1/2019,107.7,107.7,101.45,104.29,377438739,1884411961
11/30/2019,109.44,110.6,106.23,107.68,392006505,1945611203
11/29/2019,106.37,111.96,106.24,109.52,453679422,1978813004
11/28/2019,107.97,110.47,105.58,106.34,395048212,1921403990
11/27/2019,107.39,109.68,100.94,107.86,503979901,1948925218
11/26/2019,104.53,109.66,104.2,107.79,528497445,1947609127
11/25/2019,100.81,110.59,94.52,104.54,642537570,1888863830
11/24/2019,109.24,109.67,100.41,100.41,599838915,1814217168
11/23/2019,97.03,112.2,93.89,109.24,739152543,1973762429
11/22/2019,100.26,103.04,89.45,96.95,616441731,1751697880
11/21/2019,106.53,107.99,97.51,100.26,544006907,1811450983
11/20/2019,110.49,111.99,106.23,106.55,520424423,1925241869
11/19/2019,117.82,118.98,107.44,110.48,505270411,1996250189
11/18/2019,124.35,124.71,115.41,117.88,461338463,2129876360
11/17/2019,124.44,126.39,121.63,124.34,433044444,2246662178
11/16/2019,123.89,125.24,122.46,124.44,445795162,2248506131
11/15/2019,126.85,127.81,122.86,123.83,504904340,2237387754
11/14/2019,129.6,130,125.87,126.78,536349429,2290741186
11/13/2019,131.93,132.5,125.68,129.57,459041836,2341129499
11/12/2019,131.83,134.14,130.56,131.91,483240340,2383450679
11/11/2019,134.75,136.42,130.3,131.81,545751160,2381598573
11/10/2019,129.99,136.83,129.69,134.75,672594575,2434718388
11/9/2019,124.71,131.05,124.22,130,554798622,2348930504
11/8/2019,133.81,134.29,122.92,124.73,596195515,2253587995
11/7/2019,139.39,139.51,131.89,133.81,625253653,2417811957
11/6/2019,138.2,141.75,137.54,139.51,594544968,2520692186
11/5/2019,132.38,141.73,129.19,138.17,679981472,2496444837
11/4/2019,129.52,133.2,125.29,132.38,693642230,2391918494
11/3/2019,132.02,134.77,127.59,129.58,625193166,2341224259
11/2/2019,129.8,134.4,128.91,132.08,643408094,2386427906
11/1/2019,129.71,130.67,126.36,129.8,675418596,2345362327
10/31/2019,135.73,136.81,126.04,129.79,681579729,2345098775
10/30/2019,141.31,144.83,130.99,135.88,812504442,2455107079
10/29/2019,138.18,142.69,137.21,141.26,877591979,2552418810
10/28/2019,140.39,143.69,135.12,138.28,835319397,2498420677
10/27/2019,139.37,145.55,133.77,140.47,834794509,2538038524
10/26/2019,133.65,150.13,129.33,138.72,1085213668,2506456129
10/25/2019,107.53,136.13,107.25,133.53,1003567974,2412628579
10/24/2019,97.6,113.47,94.85,106.89,590775287,1931343421
10/23/2019,106.25,107.53,93.86,97.55,499965271,1762631587
10/22/2019,112.52,114.43,106.31,106.35,512483208,1921605778
10/21/2019,94.69,113.24,94.37,112.67,541954757,2011641650
10/20/2019,90.3,96.09,88.78,94.7,303194147,1690943191
10/19/2019,90.5,91.75,89.58,90.3,281678299,1612294439
10/18/2019,89.63,91.69,86.44,90.46,345538896,1615227920
10/17/2019,88.27,89.71,86.19,89.69,271421781,1601366280
10/16/2019,89.53,93.52,85.18,88.35,348703625,1577463973
10/15/2019,87.16,90.88,85.55,89.52,320044316,1598404211
10/14/2019,86.66,87.96,86.11,87.21,225321414,1557088085
10/13/2019,87.12,89.65,85.88,86.66,267105276,1547249914
10/12/2019,84.57,87.18,84.57,87.14,229512808,1555843680
10/11/2019,88.66,90.99,83.3,84.61,253215601,1510633496
10/10/2019,91.38,91.95,87.42,88.73,283585145,1584208283
10/9/2019,84.49,95.32,83.74,91.41,260940560,1632108268
10/8/2019,84.38,85.43,83.97,84.54,226789231,1509461742
10/7/2019,81.93,85.52,81.1,84.4,220337415,1506944396
10/6/2019,82.5,83.8,81.54,82.15,198006418,1466721706
10/5/2019,83.66,83.66,81.84,82.51,181882747,1473298702
10/4/2019,83.19,84.12,82.3,83.66,185634199,1493659696
10/3/2019,84.96,85.06,81.84,83.16,175634620,1484889649
10/2/2019,84.96,85.23,82.4,84.98,198465338,1517256796
10/1/2019,87.47,89.61,84.17,84.96,221813390,1516975065
9/30/2019,82.72,88.54,81.01,87.42,257954647,1560900186
9/29/2019,84.63,84.89,81.36,82.71,197802787,1476698556
9/28/2019,85.04,85.35,83.51,84.49,214814898,1508566985
9/27/2019,83.77,85.91,80.91,84.99,306495767,1517496158
